eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
518,1653,4,19,10.201,45.033,4.51,0.34
519,1654,3,17,9.204,48.637,4.46,0.57
520,1654,4,9,-0.367,47.2,3.2,0.51
521,1654,6,4,5.35,50.233,3,0.54
522,1654,10,24,8.64,47.7,3.9,0.67
523,1655,3,19,9.07,48.5,4.6,0.3
524,1655,3,29,9.095,48.705,4.31,1.22
525,1655,3,31,7.75,48.583,3.5,0.54
526,1655,4,3,9.134,48.658,4.19,0.3
527,1655,4,11,9.07,48.5,5.11,0.5
528,1656,3,4,7.05,46.683,3.71,0.59
529,1656,3,4,7.6,47.55,4.2,0.43
530,1656,3,16,7.567,47.517,3.5,0.67
531,1656,5,16,7.583,47.417,3.9,0.67
532,1657,2,15,0.617,47.117,5.7,0.51
533,1658,10,27,-0.217,46.983,4,0.49
534,1659,8,9,8.64,47.7,3.9,0.67
535,1659,8,11,8.64,47.7,3.9,0.67
536,1659,10,19,8.64,47.7,3.9,0.67
537,1660,3,18,2.653,39.572,4.59,0.41
538,1660,6,21,0.067,42.967,6.5,0.37
539,1660,11,8,6.85,46.95,3.2,0.49
540,1661,1,18,8.65,47.28,3.35,0.59
541,1661,2,2,8.53,47.57,3.9,0.67
542,1661,2,21,6.85,46.95,3.2,0.49
543,1661,3,12,9.799,45.705,4.99,0.33
544,1661,3,15,6.97,46.33,3.9,0.67
545,1661,3,21,10.863,44.734,4.86,0.3
546,1661,3,27,6.967,46.317,3.9,0.67
547,1661,5,15,6.93,47,3.9,0.67
548,1661,6,23,1.267,45.833,3,0.54
549,1662,3,3,9.5,47.26,3.9,0.67
550,1662,4,6,7.167,46.8,3.9,0.67
551,1663,1,14,-0.75,46.95,5.3,0.5
552,1663,2,20,1.283,46.133,3.4,0.53
553,1663,9,23,-0.05,43.1,2.9,0.56
554,1663,10,22,-0.05,43.1,2.9,0.56
